,week_of,unique_artists_played,total_plays,bipoc_plays,male_plays,canadian_content_plays,cjsr_station_plays,cjsw_station_plays,ckxu_station_plays,cfuv_station_plays,cjsf_station_plays,cjum_station_plays,ckdu_station_plays,ciut_station_plays,cfre_station_plays,chrw_station_plays,chuo_station_plays,cilu_station_plays,ckut_station_plays,cfbx_station_plays,cfru_station_plays,cfmh_station_plays,cjam_station_plays,chsr_station_plays,chry_station_plays,cjlo_station_plays,chyz_station_plays,chly_station_plays,cscr_station_plays,cism_station_plays,cick_station_plays,cick_province_plays
41,2006-10-24,91,180,121,159,62,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,0,10,10,0,0,0,0
42,2006-10-31,67,130,86,115,54,10,0,10,10,10,10,10,10,0,10,10,10,10,0,0,0,0,10,0,0,10,0,0,0,0,0
43,2006-11-07,73,140,99,124,53,10,0,10,10,0,10,10,10,10,10,10,10,10,10,0,0,0,10,0,0,10,0,0,0,0,0
44,2006-11-14,69,130,93,110,52,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0
45,2006-11-21,88,180,134,156,67,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,0,10,10,0,0,0,0
46,2006-11-28,69,130,95,109,37,10,10,10,10,10,10,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,10,0,0,0,0
47,2006-12-05,75,150,104,132,56,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,0,0,0,10,0,0,0,0,0
48,2006-12-12,77,150,99,131,54,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,0,0,0,10,0,0,0,0,0
49,2006-12-19,65,110,73,102,49,10,0,10,10,0,0,10,10,0,10,10,0,0,10,0,0,10,0,0,0,10,10,0,0,0,0
50,2006-12-26,10,10,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
51,2007-01-02,32,40,24,37,18,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
52,2007-01-09,95,150,102,134,65,10,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,0,0,0,10,10,0,0,0,0
53,2007-01-16,95,160,111,138,56,10,0,10,10,10,10,10,10,10,10,0,10,10,10,0,0,10,10,0,10,0,10,0,0,0,0
54,2007-01-23,88,149,103,128,57,10,0,10,10,10,10,0,9,10,10,10,10,0,0,0,0,10,10,0,10,10,10,0,0,0,0
55,2007-01-30,102,180,128,160,72,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
56,2007-02-06,93,150,111,137,58,10,0,10,10,10,10,0,10,10,10,0,10,10,0,0,10,10,0,0,10,10,10,0,0,0,0
57,2007-02-13,97,190,122,166,82,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,0,0,0,0
58,2007-02-20,94,170,116,154,69,10,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
59,2007-02-27,89,180,128,156,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,0,0,0,0,0
60,2007-03-06,75,150,103,129,64,10,10,10,10,0,10,10,10,10,10,10,10,10,0,0,0,0,10,0,10,10,0,0,0,0,0
61,2007-03-13,85,180,132,152,72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,0,0,10,10,10,0,0,0,0
62,2007-03-20,81,150,103,128,57,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,0,10,10,0,0,10,10,0,0,0,0
63,2007-03-27,61,100,75,92,38,10,0,10,10,10,0,10,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
64,2007-04-03,86,170,118,155,65,10,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
65,2007-04-10,76,160,107,147,67,10,10,0,10,0,10,10,10,10,10,10,10,10,10,0,0,10,0,0,10,10,10,0,0,0,0
66,2007-04-17,75,160,111,151,70,10,10,10,10,10,10,10,0,10,10,0,10,10,0,0,0,10,0,10,10,10,10,0,0,0,0
67,2007-04-24,86,180,122,175,86,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
68,2007-05-01,72,140,99,135,50,10,0,10,10,10,10,10,0,10,10,10,10,10,0,0,0,10,0,0,0,10,10,0,0,0,0
69,2007-05-08,83,150,100,144,53,10,0,10,10,0,10,10,0,10,10,10,10,10,10,0,0,10,0,0,10,10,10,0,0,0,0
70,2007-05-15,73,130,94,127,50,10,0,10,0,0,10,0,0,10,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
71,2007-05-22,74,160,110,153,67,10,10,10,0,10,10,10,0,10,10,10,10,10,10,0,0,0,10,0,10,10,10,0,0,0,0
72,2007-05-29,78,150,100,146,56,10,10,0,10,10,10,0,0,10,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
73,2007-06-05,80,170,123,164,71,10,10,10,10,0,10,10,0,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
74,2007-06-12,49,70,49,68,34,10,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
75,2007-06-19,73,140,101,136,59,10,0,10,10,10,10,0,10,10,10,0,10,10,10,0,0,10,0,0,0,10,10,0,0,0,0
76,2007-06-26,77,160,109,155,65,10,0,10,10,10,10,0,10,10,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
77,2007-07-03,70,150,99,143,65,10,0,10,10,0,10,0,0,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
78,2007-07-10,71,150,103,142,60,10,0,10,10,10,10,0,10,10,10,10,10,10,0,0,0,10,10,0,10,10,0,0,0,0,0
79,2007-07-17,89,159,110,149,59,10,0,10,9,10,10,0,10,0,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
80,2007-07-24,81,150,110,135,57,10,0,10,10,0,10,10,10,0,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
