,week_of,unique_artists_played,total_plays,bipoc_plays,male_plays,canadian_content_plays,cjsr_station_plays,cjsw_station_plays,ckxu_station_plays,cfuv_station_plays,cjsf_station_plays,cjum_station_plays,ckdu_station_plays,ciut_station_plays,cfre_station_plays,chrw_station_plays,chuo_station_plays,cilu_station_plays,ckut_station_plays,cfbx_station_plays,cfru_station_plays,cfmh_station_plays,cjam_station_plays,chsr_station_plays,chry_station_plays,cjlo_station_plays,chyz_station_plays,chly_station_plays,cscr_station_plays,cism_station_plays,cick_station_plays,cick_province_plays
164,2009-03-17,67,110,79,95,37,0,0,0,0,10,10,0,10,10,10,10,10,0,10,0,0,10,0,0,0,10,0,10,0,0,0
165,2009-03-24,53,90,68,74,42,0,0,0,0,10,0,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,0,0,0,0,0
166,2009-03-31,81,150,99,129,63,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,0,0,0,0,0,10,0,10,0,0,0
167,2009-04-07,85,160,117,140,55,10,10,0,10,10,10,0,10,10,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
168,2009-04-14,85,150,105,136,49,10,0,10,10,0,10,0,10,10,10,10,10,10,10,10,0,10,0,0,0,10,0,10,0,0,0
169,2009-04-21,76,140,96,131,52,0,0,10,10,10,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
170,2009-04-28,84,160,114,150,67,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
171,2009-05-05,81,160,118,153,53,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,0,10,0,0,0,10,0,10,0,0,0
172,2009-05-12,80,160,117,146,64,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,0,10,0,10,0,0,0
173,2009-05-19,59,140,98,135,58,10,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
174,2009-05-26,81,160,101,149,66,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,0,10,0,0,0,10,0,10,0,0,0
175,2009-06-02,84,160,94,150,60,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
176,2009-06-09,67,110,67,98,56,10,0,10,0,10,10,0,10,0,10,0,0,10,10,0,0,10,0,0,10,10,0,0,0,0,0
177,2009-06-16,73,150,89,139,62,10,10,0,10,10,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
178,2009-06-23,74,140,77,126,61,10,10,0,10,10,10,0,10,0,10,10,0,0,10,10,0,10,0,0,10,10,0,10,0,0,0
179,2009-06-30,58,120,66,108,54,10,10,0,10,0,10,0,10,0,10,10,10,0,0,10,0,10,0,0,10,10,0,0,0,0,0
180,2009-07-07,80,150,88,138,66,0,10,10,10,0,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
181,2009-07-14,76,140,91,131,51,10,10,10,10,10,10,0,10,0,10,10,10,0,0,10,0,10,0,0,10,0,0,10,0,0,0
182,2009-07-21,74,150,98,141,58,0,10,0,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
183,2009-07-28,78,150,101,138,58,0,10,10,10,10,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
184,2009-08-04,71,150,89,134,68,10,10,10,10,0,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,0,0,0,0
185,2009-08-11,66,130,84,116,58,0,10,10,10,0,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,0,10,0,0,0
186,2009-08-18,81,160,97,136,67,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
187,2009-08-25,62,130,73,113,57,0,10,10,10,0,10,0,10,0,0,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
188,2009-09-01,79,140,90,120,54,0,10,0,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
189,2009-09-08,67,140,88,118,58,0,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
190,2009-09-15,75,150,98,127,67,0,10,10,0,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
191,2009-09-22,76,150,102,122,63,0,10,10,10,10,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
192,2009-09-29,74,150,98,124,57,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,0,0,0,10,10,0,10,0,0,0
193,2009-10-06,66,130,90,112,52,0,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,0,0,0,10,10,0,10,0,0,0
194,2009-10-13,70,130,94,111,49,0,10,10,10,0,10,0,10,0,10,10,10,10,10,10,0,0,0,0,0,10,0,10,0,0,0
195,2009-10-20,65,110,78,99,34,0,10,10,0,10,10,0,10,0,10,0,10,10,0,0,0,10,0,0,0,10,0,10,0,0,0
196,2009-10-27,69,130,83,117,46,0,0,10,0,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,10,0,0,0
197,2009-11-03,62,110,74,100,35,0,0,0,10,10,10,0,10,0,10,10,10,10,0,10,0,0,0,0,0,10,0,10,0,0,0
198,2009-11-10,68,120,87,111,43,0,10,0,0,0,10,0,10,0,10,10,0,10,10,10,0,10,0,0,10,10,0,10,0,0,0
199,2009-11-17,70,120,91,105,34,0,10,0,0,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
200,2009-11-24,81,140,102,123,45,0,10,10,10,10,10,0,10,0,10,10,0,10,10,0,0,10,0,0,10,10,0,10,0,0,0
201,2009-12-01,75,120,90,105,42,0,10,10,10,0,10,0,10,0,10,10,10,0,0,10,0,10,0,0,0,10,0,10,0,0,0
202,2009-12-08,78,150,105,139,61,0,10,10,10,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,10,0,0,0
203,2009-12-15,68,110,72,103,50,0,10,10,0,0,10,0,10,0,10,10,10,10,0,0,0,10,0,0,0,10,0,10,0,0,0
204,2009-12-22,28,30,26,28,13,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0
205,2009-12-29,10,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
206,2010-01-05,38,50,35,43,18,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
207,2010-01-12,65,110,71,99,47,0,10,0,10,0,0,0,10,0,10,10,10,10,0,10,0,0,0,0,10,10,0,10,0,0,0
208,2010-01-19,82,130,81,110,65,0,10,10,0,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
209,2010-01-26,77,120,71,100,59,0,10,10,0,0,0,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
210,2010-02-02,78,120,66,98,57,0,0,10,0,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
211,2010-02-09,82,130,69,99,58,0,10,10,10,0,0,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
212,2010-02-16,86,150,97,113,67,0,10,10,10,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,10,0,0
213,2010-02-23,76,140,90,111,60,0,10,10,10,0,0,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,10,0,0
214,2010-03-09,79,140,80,114,61,0,10,10,10,0,0,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,10,0,0
215,2010-03-16,73,120,66,98,61,0,10,10,0,0,10,0,10,0,10,0,10,10,10,0,0,0,0,0,10,10,0,10,10,0,0
216,2010-03-23,75,110,63,89,50,0,10,10,0,0,10,0,10,0,10,0,10,10,0,10,0,0,0,0,0,10,0,10,10,0,0
217,2010-03-30,86,140,75,112,70,0,10,10,0,0,10,0,10,0,10,10,10,10,10,10,0,0,0,0,10,10,0,10,10,0,0
218,2010-04-06,64,110,56,91,56,0,10,10,10,0,10,0,10,0,10,10,10,10,0,0,0,0,0,0,10,10,0,0,0,0,0
219,2010-04-13,76,140,84,115,60,0,10,10,10,0,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,10,0,0,0
220,2010-04-20,78,140,84,117,63,0,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
221,2010-04-27,80,150,96,130,71,0,10,10,10,0,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
222,2010-05-04,65,140,87,123,66,10,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
223,2010-05-11,67,130,92,115,62,0,10,10,10,0,10,0,10,0,0,10,10,0,10,10,0,10,0,0,10,10,0,10,0,0,0
224,2010-05-18,59,140,96,123,69,10,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
225,2010-05-25,76,140,94,122,65,0,10,10,10,0,10,0,10,0,10,10,10,0,10,10,0,10,0,0,10,10,0,10,0,0,0
226,2010-06-01,59,130,86,111,62,0,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,0,0,10,0,0,0
227,2010-06-08,71,150,103,130,72,10,0,10,10,0,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0
228,2010-06-15,70,130,86,112,66,10,0,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,0,10,0,10,0,0,0
229,2010-06-22,84,160,98,133,75,10,10,10,10,0,10,0,10,0,10,10,10,0,10,10,10,10,0,0,10,10,0,10,0,0,0
230,2010-06-29,78,160,88,133,84,10,10,10,10,0,10,0,10,0,10,10,10,10,0,10,10,10,0,0,10,10,0,10,0,0,0
231,2010-07-06,76,150,82,133,83,10,10,10,10,0,0,0,10,0,10,10,10,0,10,10,10,10,0,0,10,10,0,10,0,0,0
232,2010-07-13,78,130,67,109,71,10,10,10,10,0,10,0,10,0,10,0,10,10,0,10,10,0,0,0,0,10,0,10,0,0,0
233,2010-07-20,57,110,51,99,55,10,10,0,10,0,10,0,10,0,10,0,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0
234,2010-07-27,72,130,62,120,66,10,10,10,10,0,10,0,10,0,10,0,10,0,0,0,10,10,0,0,10,10,0,10,0,0,0
235,2010-08-03,72,150,70,135,92,10,10,10,10,0,0,0,10,0,10,0,10,10,10,10,10,10,0,0,10,10,0,0,0,10,0
236,2010-08-10,70,150,66,136,83,10,10,10,10,0,10,0,10,0,10,10,10,10,0,10,10,10,0,0,10,10,0,0,0,0,0
237,2010-08-17,64,140,63,129,73,10,10,0,10,0,10,0,10,0,10,10,10,10,10,10,10,0,0,0,10,10,0,0,0,0,0
238,2010-08-24,60,130,59,120,68,10,10,10,10,0,10,0,10,0,10,10,10,10,0,10,0,0,0,0,10,10,0,0,0,0,0
239,2010-08-31,63,150,72,137,82,10,10,10,10,0,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,0,0,0,0
240,2010-09-07,54,110,51,98,59,10,10,10,10,0,0,0,10,0,10,10,10,10,0,0,0,10,0,0,0,10,0,0,0,0,0
241,2010-09-14,67,130,67,116,72,10,10,10,10,0,0,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
242,2010-09-21,59,110,53,99,59,0,10,10,10,0,10,0,10,0,10,10,10,10,0,0,0,10,0,0,0,10,0,0,0,0,0
243,2010-09-28,69,130,65,118,65,0,10,10,10,0,10,0,10,0,10,10,10,10,10,0,0,10,0,0,0,10,0,10,0,0,0
244,2010-10-05,76,140,77,123,60,10,10,10,10,0,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,0,10,0,0,0
245,2010-10-12,66,130,72,115,61,10,10,10,10,0,10,0,10,0,10,10,10,0,10,0,0,10,0,0,10,10,0,0,0,0,0
246,2010-10-19,61,120,69,104,56,10,10,10,10,0,10,0,10,0,10,10,10,0,0,10,0,10,0,0,10,0,0,0,0,0,0
247,2010-10-26,72,110,67,96,51,10,0,10,0,0,10,0,0,0,10,10,10,0,10,0,0,10,0,0,10,10,0,10,0,0,0
248,2010-11-02,74,120,76,105,56,0,10,10,10,0,10,0,10,0,10,10,10,0,0,0,0,0,0,0,10,10,0,10,0,10,0
249,2010-11-09,72,130,89,120,55,10,10,0,10,0,10,0,0,0,10,10,10,10,10,10,0,0,0,0,10,10,0,10,0,0,0
250,2010-11-16,84,140,95,124,63,10,10,10,10,0,10,0,10,0,10,10,10,0,0,10,0,10,0,0,10,10,0,10,0,0,0
251,2010-11-23,85,140,104,120,69,10,10,10,10,0,10,0,0,0,10,10,10,10,10,10,0,10,0,0,0,10,0,10,0,0,0
252,2010-11-30,72,110,78,98,48,10,10,10,10,0,10,0,0,0,10,10,10,0,0,0,0,0,0,0,10,10,0,10,0,0,0
253,2010-12-07,76,130,98,117,59,10,10,10,10,0,10,0,0,0,10,10,10,0,10,10,0,10,0,0,0,10,0,10,0,0,0
254,2010-12-14,68,110,81,95,49,10,10,10,10,0,10,0,0,0,10,10,10,0,0,0,0,10,0,0,0,10,0,10,0,0,0
255,2010-12-21,52,70,56,60,23,0,10,0,10,0,10,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,10,0,0,0
256,2010-12-28,10,10,9,9,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2011-01-04,37,50,39,46,24,10,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
258,2011-01-11,74,120,90,109,64,10,10,10,10,0,10,0,0,0,10,10,10,0,0,10,0,10,0,0,10,10,0,0,0,0,0
259,2011-01-18,71,130,103,120,72,10,10,10,10,0,10,0,0,0,0,10,10,10,10,10,0,10,0,0,10,10,0,0,0,0,0
260,2011-01-25,72,120,92,108,67,10,10,10,10,0,10,0,0,0,10,10,10,0,0,10,0,10,0,0,0,10,0,10,0,0,0
261,2011-02-01,76,140,103,127,80,10,10,10,10,0,10,0,0,0,10,10,10,10,10,10,0,10,0,0,10,10,0,0,0,0,0
262,2011-02-08,66,110,80,102,63,10,10,10,10,0,10,0,0,0,10,0,10,0,0,10,0,10,0,0,10,10,0,0,0,0,0
263,2011-02-15,63,120,73,114,74,10,10,10,10,0,10,0,0,0,10,0,10,0,10,10,0,10,0,0,10,10,0,0,0,0,0
264,2011-02-22,54,100,59,94,52,10,10,0,10,0,0,0,0,0,10,10,10,0,0,10,0,10,0,0,10,10,0,0,0,0,0
265,2011-03-01,55,100,56,95,57,0,0,10,10,0,10,0,0,0,10,10,10,0,10,10,0,0,0,0,10,10,0,0,0,0,0
266,2010-03-02,87,150,91,124,66,0,10,10,10,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,10,10,0,0
