,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
0,breakestra,us,"los angeles, ca",yes,mixed group,male,False,True,32,0.40625,0.09375,0.0,0.0,0.0,0.375,0.125,0,0,0,0,1,0,0,1,0,1,0,0
1,candy's .22,us,"los angeles, ca",no,white,male,False,True,10,0.7,0.2,0.0,0.0,0.0,0.1,0.0,0,0,0,0,1,1,0,0,0,1,0,0
2,dangerdoom,us,"new york, ny",yes,black,male,False,False,18,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.8333333333333334,0.0,0,0,0,0,1,0,0,1,0,1,0,0
3,blockhead,us,"new york, ny",no,white,male,False,False,37,0.16216216216216217,0.10810810810810811,0.0,0.0,0.02702702702702703,0.5675675675675675,0.13513513513513514,0,0,0,0,1,1,0,0,0,1,0,0
4,blackalicious,us,"sacramento, ca",yes,black,male,False,True,2,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
5,onry ozzborn,us,"seattle, wa",yes,hispanic,male,False,False,11,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.45454545454545453,0,0,0,0,1,0,0,1,0,1,0,0
6,various_0,us,unknown,yes,mixed group,male,False,True,238,0.13445378151260504,0.1722689075630252,0.02100840336134454,0.037815126050420166,0.004201680672268907,0.5504201680672269,0.07983193277310924,0,0,0,0,1,0,0,1,0,1,0,0
7,psyche origami,us,"atlanta, ga",yes,mixed group,male,False,True,24,0.4166666666666667,0.0,0.08333333333333333,0.041666666666666664,0.0,0.4583333333333333,0.0,0,0,0,0,1,0,0,1,0,1,0,0
8,various_1,us,unknown,yes,mixed group,mixed,False,True,197,0.25380710659898476,0.13705583756345177,0.06091370558375635,0.03553299492385787,0.005076142131979695,0.4213197969543147,0.08629441624365482,0,0,0,0,1,0,0,1,0,0,1,0
9,mike ladd,us,"boston, mass",yes,black,male,False,False,56,0.26785714285714285,0.23214285714285715,0.21428571428571427,0.0,0.0,0.25,0.03571428571428571,0,0,0,0,1,0,0,1,0,1,0,0
10,id and sleeper,us,"lawrence, ks",no,white,male,False,True,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
11,supastition,us,"greenville, nc",yes,black,male,False,False,17,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0,0,0,0,1,0,0,1,0,1,0,0
12,arhythmatik,us,"phoenix, az",no,white,male,False,False,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
13,blackbird,us,"los angeles, ca",yes,black,male,False,False,9,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0,0,0,0,1,0,0,1,0,1,0,0
14,fatlip,us,"los angeles, ca",yes,black,male,False,False,34,0.11764705882352941,0.3235294117647059,0.08823529411764706,0.0,0.058823529411764705,0.4117647058823529,0.0,0,0,0,0,1,0,0,1,0,1,0,0
15,lady sovereign,uk,"london, eng",no,white,female,False,False,192,0.20833333333333334,0.15625,0.125,0.005208333333333333,0.036458333333333336,0.46875,0.0,0,0,1,0,0,1,0,0,1,0,0,0
16,one self,us,"brooklyn, ny",yes,mixed group,mixed,False,True,20,0.5,0.2,0.0,0.0,0.2,0.1,0.0,0,0,0,0,1,0,0,1,0,0,1,0
17,gilles peterson,int,"caen, fr",no,white,male,False,False,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0
18,emmanuel jal and abdel gadir salim,int,"tonj, sudan",yes,black,male,False,True,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
19,ghislain poirier,cdn,"montreal, qc",no,white,male,True,False,142,0.2112676056338028,0.13380281690140844,0.04225352112676056,0.007042253521126761,0.09859154929577464,0.28169014084507044,0.22535211267605634,1,0,0,0,0,1,0,0,0,1,0,0
20,cadence weapon,cdn,"edmonton, ab",yes,black,male,True,False,355,0.2056338028169014,0.1323943661971831,0.08732394366197183,0.0,0.03943661971830986,0.4253521126760563,0.10985915492957747,1,0,0,0,0,0,0,1,0,1,0,0
21,kardinal offishall,cdn,"toronto, on",yes,black,male,True,False,61,0.03278688524590164,0.09836065573770492,0.0,0.0,0.0,0.7540983606557377,0.11475409836065574,1,0,0,0,0,0,0,1,0,1,0,0
22,pocket dwellers,cdn,"toronto, on",yes,mixed group,male,True,True,18,0.05555555555555555,0.16666666666666666,0.0,0.05555555555555555,0.16666666666666666,0.5555555555555556,0.0,1,0,0,0,0,0,0,1,0,1,0,0
23,park-like setting,cdn,vancouver,no,white,male,True,True,34,0.3235294117647059,0.08823529411764706,0.35294117647058826,0.0,0.17647058823529413,0.058823529411764705,0.0,1,0,0,0,0,1,0,0,0,1,0,0
24,skillz,us,"richmond, va",yes,black,male,False,False,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,0,1,0,0,1,0,1,0,0
25,mathematics,us,"new york, ny",yes,black,male,False,False,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666,0,0,0,0,1,0,0,1,0,1,0,0
26,atmosphere,us,"minneapolis, ms",no,white,male,False,True,194,0.11855670103092783,0.16494845360824742,0.04639175257731959,0.005154639175257732,0.015463917525773196,0.4175257731958763,0.23195876288659795,0,0,0,0,1,1,0,0,0,1,0,0
27,deux process,us,"denver, co",yes,mixed group,male,False,True,6,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,0,1,0,0,1,0,1,0,0
28,bun b,us,"port arthur, tx",yes,black,male,False,False,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,0,0,0,0,1,0,0,1,0,1,0,0
29,canibus,us,"new york, ny",yes,black,male,False,False,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
30,j-live,us,"new york, ny",yes,black,male,False,False,25,0.08,0.16,0.0,0.0,0.0,0.48,0.28,0,0,0,0,1,0,0,1,0,1,0,0
31,digable planets,us,"new york, ny",yes,black,male,False,True,6,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0,0,0,0,1,0,0,1,0,1,0,0
32,part 2,uk,"london, eng",yes,black,male,False,False,4,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0,0,1,0,0,0,0,1,0,1,0,0
33,damian marley,int,"kingston, jamaica",yes,black,male,False,False,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
34,classified,cdn,"enfield, ns",no,white,male,True,False,238,0.15126050420168066,0.19747899159663865,0.0,0.058823529411764705,0.07983193277310924,0.2647058823529412,0.24789915966386555,1,0,0,0,0,1,0,0,0,1,0,0
35,mathematik,cdn,"toronto, on",yes,black,male,True,False,10,0.0,0.3,0.0,0.1,0.1,0.5,0.0,1,0,0,0,0,0,0,1,0,1,0,0
36,omni,cdn,"montreal, qc",no,white,male,True,False,28,0.07142857142857142,0.35714285714285715,0.25,0.0,0.0,0.2857142857142857,0.03571428571428571,1,0,0,0,0,1,0,0,0,1,0,0
37,bigg jus,us,"new york, ny",yes,black,male,False,False,38,0.34210526315789475,0.0,0.18421052631578946,0.0,0.0,0.42105263157894735,0.05263157894736842,0,0,0,0,1,0,0,1,0,1,0,0
38,mike boo,us,"oakland, ca",yes,asian,male,False,False,7,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
39,little brother,us,"durham, nc",yes,black,male,False,True,23,0.0,0.2608695652173913,0.043478260869565216,0.0,0.0,0.391304347826087,0.30434782608695654,0,0,0,0,1,0,0,1,0,1,0,0
40,the roots,us,"philadelphia, pa",yes,black,male,False,True,226,0.11061946902654868,0.20353982300884957,0.084070796460177,0.04424778761061947,0.004424778761061947,0.40707964601769914,0.14601769911504425,0,0,0,0,1,0,0,1,0,1,0,0
41,slum village,us,"detroit, mi",yes,black,male,False,True,7,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0,0,0,0,1,0,0,1,0,1,0,0
42,czar nok,us,"cincinnati, oh",yes,black,male,False,True,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
43,part2,uk,"london, eng",yes,black,male,False,False,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0
44,boozoo bajou,int,"nuremberg, ger",no,white,male,False,True,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0
45,jorun bombay,cdn,"halifax, ns",no,white,male,True,False,46,0.06521739130434782,0.15217391304347827,0.15217391304347827,0.08695652173913043,0.1956521739130435,0.34782608695652173,0.0,1,0,0,0,0,1,0,0,0,1,0,0
46,jesse dangerously,cdn,"halifax, ns",no,white,male,True,False,95,0.24210526315789474,0.08421052631578947,0.0,0.010526315789473684,0.14736842105263157,0.4,0.11578947368421053,1,0,0,0,0,1,0,0,0,1,0,0
47,riviera regime,cdn,"toronto, on",no,white,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
48,l.a. symphony,us,"los angeles, ca",yes,mixed group,male,False,True,4,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
49,kanye west,us,"chicago, il",yes,black,male,False,False,46,0.0,0.0,0.17391304347826086,0.0,0.0,0.6521739130434783,0.17391304347826086,0,0,0,0,1,0,0,1,0,1,0,0
50,ohmega watts,us,"new york, ny",yes,black,male,False,False,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
51,cage,us,"new york, ny",no,white,male,False,False,65,0.015384615384615385,0.2153846153846154,0.1076923076923077,0.0,0.0,0.6153846153846154,0.046153846153846156,0,0,0,0,1,1,0,0,0,1,0,0
52,sound directions,us,"los angeles, ca",yes,black,male,False,False,17,0.0,0.35294117647058826,0.0,0.0,0.0,0.6470588235294118,0.0,0,0,0,0,1,0,0,1,0,1,0,0
53,various_2,us,unknown,yes,black,male,False,True,106,0.2358490566037736,0.20754716981132076,0.0,0.0,0.018867924528301886,0.37735849056603776,0.16037735849056603,0,0,0,0,1,0,0,1,0,1,0,0
54,aratone,us,"seattle, wa",no,white,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
55,malik yusef,us,"chicago, il",yes,black,male,False,False,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
56,penuckle,us,"los angeles, ca",yes,black,male,False,False,3,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,0,1,0,0,1,0,1,0,0
57,astronautalis,us,"seattle, wa",no,white,male,False,False,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0,0,0,0,1,1,0,0,0,1,0,0
58,public enemy,us,"new york, ny",yes,black,male,False,True,61,0.19672131147540983,0.11475409836065574,0.09836065573770492,0.09836065573770492,0.0,0.3770491803278688,0.11475409836065574,0,0,0,0,1,0,0,1,0,1,0,0
59,ill technicians,uk,"brighton, eng",yes,mixed group,male,False,True,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0
60,saian supa crew,int,"paris, fr",yes,mixed group,male,False,True,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
61,jin,int,hong kong,yes,asian,male,False,False,11,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.36363636363636365,0.0,0,1,0,0,0,0,0,1,0,1,0,0
62,red ants,cdn,"toronto, on",yes,mixed group,male,True,True,74,0.12162162162162163,0.08108108108108109,0.0,0.0,0.04054054054054054,0.6621621621621622,0.0945945945945946,1,0,0,0,0,0,0,1,0,1,0,0
63,k'naan,cdn,"toronto, on",yes,black,male,False,False,157,0.07643312101910828,0.12738853503184713,0.07006369426751592,0.006369426751592357,0.0,0.6305732484076433,0.08917197452229299,1,0,0,0,0,0,0,1,0,1,0,0
64,the sequestrians,cdn,"london, on",no,white,male,True,True,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
65,maestro,cdn,"toronto, on",yes,black,male,True,False,24,0.0,0.08333333333333333,0.0,0.0,0.125,0.7916666666666666,0.0,1,0,0,0,0,0,0,1,0,1,0,0
66,corduroy kid,cdn,"vancouver, bc",no,white,male,True,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
67,various_3,cdn,unknown,no,white,male,True,True,42,0.09523809523809523,0.07142857142857142,0.0,0.023809523809523808,0.023809523809523808,0.7380952380952381,0.047619047619047616,1,0,0,0,0,1,0,0,0,1,0,0
68,pud fluff & steelos,cdn,"nanaimo, bc",no,white,male,True,True,6,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1,0,0,0,0,1,0,0,0,1,0,0
69,solomon,cdn,"thunder bay, on",no,white,male,True,False,17,0.11764705882352941,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,1,0,0,0,0,1,0,0,0,1,0,0
70,various_4,us,unknown,yes,black,mixed,False,True,22,0.4090909090909091,0.22727272727272727,0.0,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0,0,0,0,1,0,0,1,0,0,1,0
71,b.r. gunna,us,"detroit, mi",yes,black,male,False,True,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
72,i self devine,us,"minneapolis, ms",yes,black,male,False,False,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
73,lost boyz,us,"new york, ny",yes,black,male,False,True,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
74,consequence,us,"new york, ny",yes,black,male,False,False,12,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.5833333333333334,0,0,0,0,1,0,0,1,0,1,0,0
75,method man,us,"new york, ny",yes,black,male,False,False,28,0.0,0.03571428571428571,0.0,0.2857142857142857,0.0,0.39285714285714285,0.2857142857142857,0,0,0,0,1,0,0,1,0,1,0,0
76,notorious b.i.g.,us,"new york, ny",yes,black,male,False,False,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
77,nms,us,"new york, ny",yes,black,male,False,False,5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0,0,0,0,1,0,0,1,0,1,0,0
78,tek,us,"new york, ny",yes,black,male,False,False,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
79,rob swift,us,"new york, ny",yes,black,male,False,False,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
80,dabrye,us,"ann arbor, mi",no,white,male,False,False,64,0.3125,0.078125,0.140625,0.0,0.015625,0.375,0.078125,0,0,0,0,1,1,0,0,0,1,0,0
81,proof,us,"detroit, mi",yes,black,male,False,False,6,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0,0,0,0,1,0,0,1,0,1,0,0
82,a-alikes,us,"new york, ny",yes,black,male,False,True,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
83,rza,us,"brooklyn, ny",yes,black,male,False,False,58,0.08620689655172414,0.15517241379310345,0.08620689655172414,0.1206896551724138,0.0,0.3620689655172414,0.1896551724137931,0,0,0,0,1,0,0,1,0,1,0,0
84,jd walker,us,"portland, me",no,white,male,False,False,13,0.0,0.0,0.38461538461538464,0.0,0.0,0.6153846153846154,0.0,0,0,0,0,1,1,0,0,0,1,0,0
85,epic/nomad,cdn,"saskatoon, sask",no,white,male,True,True,42,0.3333333333333333,0.07142857142857142,0.23809523809523808,0.0,0.0,0.30952380952380953,0.047619047619047616,1,0,0,0,0,1,0,0,0,1,0,0
86,alpha flight,cdn,"halifax, ns",no,white,male,False,True,5,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
87,mr. bix,cdn,"halifax, ns",no,white,male,True,False,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
88,cvg,cdn,"halifax, ns",no,white,male,True,True,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
89,state property,us,"philadelphia, pa",yes,black,male,False,True,4,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0,0,0,0,1,0,0,1,0,1,0,0
90,black rob,us,"new york, ny",yes,black,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
91,ii far gone,us,"columbus, oh",yes,black,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
92,coldcut,uk,"london, eng",no,white,male,False,True,9,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0,0,1,0,0,1,0,0,0,1,0,0
93,eternia,cdn,"ottawa, on",no,white,female,True,False,9,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,1,0,0,0,0,1,0,0,1,0,0,0
94,green tara,cdn,"vancouver, bc",yes,black,female,True,False,9,0.0,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222,0.0,1,0,0,0,0,0,0,1,1,0,0,0
95,lil city,cdn,"windsor, on",yes,mixed group,mixed,True,True,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0
96,various_5,unknown,unknown,yes,mixed group,mixed,False,True,58,0.3275862068965517,0.29310344827586204,0.0,0.0,0.0,0.2413793103448276,0.13793103448275862,0,0,0,1,0,0,0,1,0,0,1,0
97,various_6,us,"detroit, mi",yes,mixed group,male,False,True,11,0.09090909090909091,0.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0,0,0,0,1,0,0,1,0,1,0,0
98,jel,us,"oakland, ca",no,white,male,False,False,46,0.2608695652173913,0.21739130434782608,0.06521739130434782,0.0,0.0,0.41304347826086957,0.043478260869565216,0,0,0,0,1,1,0,0,0,1,0,0
99,omega one,us,"new york, ny",no,white,male,False,False,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
100,mr. scruff,uk,"manchester, eng",no,white,male,False,False,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0
101,dreddy kruger,unknown,unknown,unknown,unknown,unknown,False,False,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1
102,p.o.s.,us,"minneapolis, mn",yes,black,male,False,False,160,0.1625,0.10625,0.10625,0.0,0.025,0.425,0.175,0,0,0,0,1,0,0,1,0,1,0,0
103,coaxial,us,"los angeles, ca",yes,mixed group,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
104,mizell brothers,us,"los angeles, ca",yes,black,male,False,True,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
105,lawless element,us,"detroit, mi",yes,black,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
106,colossus,us,"oakland, ca",yes,mixed group,male,False,True,42,0.30952380952380953,0.0,0.0,0.0,0.0,0.6428571428571429,0.047619047619047616,0,0,0,0,1,0,0,1,0,1,0,0
107,emmanuel jal and abdel gadir smith,int,"tonj, sudan",yes,black,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
108,jay bizzy,cdn,"halifax, ns",no,white,male,True,False,44,0.11363636363636363,0.09090909090909091,0.0,0.0,0.2727272727272727,0.4318181818181818,0.09090909090909091,1,0,0,0,0,1,0,0,0,1,0,0
109,god made me funky,cdn,"toronto, on",yes,mixed group,mixed,True,True,79,0.1518987341772152,0.20253164556962025,0.0,0.05063291139240506,0.0,0.5189873417721519,0.0759493670886076,1,0,0,0,0,0,0,1,0,0,1,0
110,soundminds,cdn,"toronto, on",no,white,male,True,True,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
111,character traits,cdn,"nanaimo, bc",no,white,male,True,False,26,0.23076923076923078,0.34615384615384615,0.0,0.0,0.0,0.4230769230769231,0.0,1,0,0,0,0,1,0,0,0,1,0,0
112,nay-sun,cdn,"ottawa, on",yes,black,male,True,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
113,various_7,cdn,unknown,yes,mixed group,male,True,True,114,0.17543859649122806,0.22807017543859648,0.043859649122807015,0.07894736842105263,0.017543859649122806,0.39473684210526316,0.06140350877192982,1,0,0,0,0,0,0,1,0,1,0,0
114,raekwon,us,"new york, ny",yes,black,male,False,False,31,0.06451612903225806,0.22580645161290322,0.12903225806451613,0.0,0.0,0.2903225806451613,0.2903225806451613,0,0,0,0,1,0,0,1,0,1,0,0
115,tha alkaholiks,us,"los angeles, ca",yes,black,male,False,True,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
116,ayatollah,us,"new york, ny",yes,black,male,False,False,12,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0,0,0,0,1,0,0,1,0,1,0,0
117,modill,us,"chicago, il",yes,mixed group,male,False,True,19,0.42105263157894735,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.10526315789473684,0,0,0,0,1,0,0,1,0,1,0,0
118,rhythmicru,cdn,"toronto, on",yes,mixed group,male,True,True,65,0.4,0.16923076923076924,0.0,0.0,0.18461538461538463,0.18461538461538463,0.06153846153846154,1,0,0,0,0,0,0,1,0,1,0,0
119,12seven,us,unknown,yes,native american,male,False,True,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
120,taylormade,us,"los angeles, ca",yes,black,male,False,False,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
121,exile,us,"los angeles, ca",no,white,male,False,False,35,0.08571428571428572,0.4857142857142857,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0,0,0,0,1,1,0,0,0,1,0,0
122,divine allah,us,"brooklyn, ny",yes,black,male,False,False,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
123,guru,us,"boston, mass",yes,black,male,False,False,64,0.109375,0.21875,0.171875,0.0,0.0,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
124,war party,cdn,"hobbema, ab",yes,native american,male,True,True,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
125,floetry,uk,"london, eng",yes,black,female,False,True,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0,0,1,0,0,0,0,1,1,0,0,0
126,induce,us,"miami, fl",unknown,unknown,male,False,False,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,1,0,0
127,beastie boys,us,"new york, ny",no,white,male,False,True,31,0.16129032258064516,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.3225806451612903,0.25806451612903225,0,0,0,0,1,1,0,0,0,1,0,0
128,transplants,us,"los angeles, ca",no,white,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
129,j.f kennedy,us,"seattle, wa",yes,hispanic,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
130,renni beema,us,"orlando, fl",yes,black,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
131,zilo groove,us,"new york, ny",yes,black,male,False,False,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
132,shane philips,cdn,"montreal, qc",yes,black,male,True,False,4,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1,0,0,0,0,0,0,1,0,1,0,0
133,the blissful wizard,cdn,"cambridge, on",no,white,male,False,False,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
134,wasun,cdn,"toronto, on",yes,black,male,True,False,21,0.0,0.0,0.0,0.0,0.2857142857142857,0.47619047619047616,0.23809523809523808,1,0,0,0,0,0,0,1,0,1,0,0
135,e.v.o,unknown,unknown,unknown,unknown,unknown,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1
136,roy ayers,us,"los angeles, ca",yes,black,male,False,False,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
137,lightheaded,us,"portland, or",yes,mixed group,male,False,True,16,0.1875,0.4375,0.0,0.3125,0.0,0.0,0.0625,0,0,0,0,1,0,0,1,0,1,0,0
138,various_8,us,"new york, ny",yes,black,mixed,False,True,72,0.3472222222222222,0.2222222222222222,0.0,0.0,0.0,0.3888888888888889,0.041666666666666664,0,0,0,0,1,0,0,1,0,0,1,0
139,darondo,us,"san francisco, ca",yes,black,male,False,False,7,0.42857142857142855,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0,0,0,0,1,0,0,1,0,1,0,0
140,soulive,us,"woodstock, ny",yes,mixed group,male,False,True,6,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
141,giant panda,us,"los angeles, ca",yes,mixed group,male,False,True,47,0.10638297872340426,0.574468085106383,0.0,0.02127659574468085,0.02127659574468085,0.2765957446808511,0.0,0,0,0,0,1,0,0,1,0,1,0,0
142,jern eye,us,"los angeles, ca",yes,black,male,False,False,22,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453,0.18181818181818182,0,0,0,0,1,0,0,1,0,1,0,0
143,junk science,us,"new york, ny",no,white,male,False,False,52,0.19230769230769232,0.15384615384615385,0.28846153846153844,0.0,0.0,0.019230769230769232,0.34615384615384615,0,0,0,0,1,1,0,0,0,1,0,0
144,fort minor,us,"los angeles, ca",yes,mixed group,male,False,True,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
145,lotek hi-fi,uk,"london, eng",yes,black,male,False,True,10,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0,0,1,0,0,0,0,1,0,1,0,0
146,alter one,cdn,"calgary, ab",no,white,male,True,True,12,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,0,0,0,0,1,0,0,0,1,0,0
