,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
1819,indubious,us,"ashland, or",no,white,male,False,True,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1820,blestenation,us,"new york, ny",no,white,male,False,True,9,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0,0,0,0,1,1,0,0,0,1,0,0
1821,malachai,uk,"bristol, eng",no,white,male,False,True,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0
1822,relic,cdn,"toronto, on",no,white,male,True,False,33,0.30303030303030304,0.2727272727272727,0.0,0.0,0.0,0.42424242424242425,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1823,apophis,cdn,"edmonton, ab",unknown,unknown,unknown,True,False,16,0.875,0.0625,0.0,0.0,0.0,0.0625,0.0,1,0,0,0,0,0,1,0,0,0,0,1
1824,booka shade,int,"frankfurt, germany",no,white,male,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0
1825,hypolyte a,cdn,"edmonton, ab",yes,mixed group,mixed,True,True,20,0.5,0.05,0.0,0.0,0.0,0.2,0.25,1,0,0,0,0,0,0,1,0,0,1,0
1826,planit & the dirty sample,cdn,"vancouver, bc",no,white,male,True,False,9,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,1,0,0,0,0,1,0,0,0,1,0,0
1827,miqi o.,int,"belfort, france",no,white,male,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0
1828,game rebellion,us,"brooklyn, ny",yes,black,male,False,True,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1829,ricca razor sharp & the equazn,cdn,"calgary, ab",no,white,male,True,False,51,0.1568627450980392,0.1568627450980392,0.0,0.0,0.0,0.5294117647058824,0.1568627450980392,1,0,0,0,0,1,0,0,0,1,0,0
1830,devilz speciez,cdn,"markham, on",yes,middle eastern,male,True,True,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1831,time,us,"denver, co",no,white,male,False,False,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1832,b.o.b,us,"decatur, ga",yes,black,male,False,False,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1833,travie,us,"geneva, ny",yes,black,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1834,fatt matt and big moves,cdn,"halifax, ns",no,white,male,True,True,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1835,declaime,us,"babylon, ny",yes,black,male,False,False,16,0.0,0.25,0.0,0.0,0.0,0.125,0.625,0,0,0,0,1,0,0,1,0,1,0,0
1836,bad weather,cdn,"montreal, qc",yes,middle eastern,male,True,False,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0
1837,raw soul,us,"norfolk, va",yes,black,mixed,False,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0
1838,magnolius,cdn,"toronto, on",yes,mixed group,male,True,True,9,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,1,0,0,0,0,0,0,1,0,1,0,0
1839,various_64,int,unknown,yes,mixed group,male,False,False,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
1840,the hobo banditos,cdn,"toronto, on",yes,mixed group,male,True,True,12,0.4166666666666667,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1841,reflection eternal,us,"new york, ny",yes,black,male,False,True,72,0.027777777777777776,0.125,0.06944444444444445,0.125,0.0,0.4722222222222222,0.18055555555555555,0,0,0,0,1,0,0,1,0,1,0,0
1842,nas & damian marley,us,"new york, ny",yes,black,male,False,True,45,0.15555555555555556,0.2222222222222222,0.0,0.2,0.0,0.2,0.2222222222222222,0,0,0,0,1,0,0,1,0,1,0,0
1843,pocket kings,cdn,"victoria, bc",no,white,male,True,True,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1844,ninjasonik,us,"brooklyn, ny",yes,black,male,False,True,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1845,fundament,cdn,"toronto, on",no,white,male,True,False,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0
1846,samian,cdn,"pikogan, qc",yes,native american,male,True,False,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1847,nate mars,us,"new york, ny",no,white,male,False,False,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1848,the infesticons,us,"new york, ny",yes,mixed group,male,False,True,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
