,STATION,WEEK OF,STATION LATITUDE,STATION LONGITUDE,STATION CITY,STATION PROVINCE,MOST PLAYED ARTIST CITY,ARTIST COUNTRY,MOST PLAYED LABEL TYPE,MOST PLAYED LABEL ,ARTIST GENDER female,ARTIST GENDER male,ARTIST GENDER male group,ARTIST GENDER mixed group,CENSUS RACE CLASSIFICATION asian,CENSUS RACE CLASSIFICATION asian other,CENSUS RACE CLASSIFICATION black,CENSUS RACE CLASSIFICATION hispanic,CENSUS RACE CLASSIFICATION mixed group,CENSUS RACE CLASSIFICATION white,ARTIST COUNTRY cdn,ARTIST COUNTRY int,ARTIST COUNTRY uk,ARTIST COUNTRY us,ARTIST COUNTRY us/cdn,CANADIAN CONTENT no,CANADIAN CONTENT yes,ARTIST COUNTRY unknown,ARTIST GENDER unknown,CENSUS RACE CLASSIFICATION unknown,ARTIST GENDER female group,CENSUS RACE CLASSIFICATION native american,CENSUS RACE CLASSIFICATION native canadian,CENSUS RACE CLASSIFICATION middle eastern,CENSUS RACE CLASSIFICATION unidentified,CENSUS RACE CLASSIFICATION asian indian,CENSUS RACE CLASSIFICATION jewish,CENSUS RACE CLASSIFICATION romany,CENSUS RACE CLASSIFICATION other asian,CENSUS RACE CLASSIFICATION indian,CENSUS RACE CLASSIFICATION indian asian,CENSUS RACE CLASSIFICATION inuit,CENSUS RACE CLASSIFICATION metis,ARTIST GENDER no,CENSUS RACE CLASSIFICATION male,CENSUS RACE CLASSIFICATION east asian
10,ckdu,2006-01-10,44.65,-63.6,halifax,ns,"halifax, ns",cdn,indie,!k7,0.0,0.5,0.4,0.1,0.0,0.0,0.5,0.0,0.1,0.4,0.4,0.2,0.1,0.3,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ckut,2006-01-10,45.5,-73.58,montreal,qc,"new york, ny",us,indie,atlantic,0.0,0.7,0.2,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ckxu,2006-01-10,49.7,-112.83,lethbridge,ab,"los angeles, ca",us,indie,chocolate industries,0.1,0.5,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.3,0.1,0.1,0.5,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,cfbx,2006-01-17,50.67,-120.33,kamloops,bc,"philadelphia, pa",us,indie,chocolate industries,0.1,0.6,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.4,0.0,0.1,0.5,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,cfre,2006-01-17,46.59,-79.66,mississauga,on,"toronto, on",cdn,indie,urbnet,0.1,0.5,0.4,0.0,0.0,0.0,0.4,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,cfuv,2006-01-17,48.43,-123.35,victoria,bc,"los angeles, ca",us,indie,babygrande,0.1,0.7,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.2,0.1,0.1,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,chrw,2006-01-17,42.983,-81.25,london,on,"london, eng",cdn,indie,ninja tune,0.1,0.6,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,chuo,2006-01-17,45.417,-75.7,ottawa,on,unknown,us,indie,arc the finger,0.1,0.3,0.5,0.1,0.1,0.0,0.6,0.0,0.2,0.1,0.2,0.1,0.0,0.6,0.0,0.8,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,cilu,2006-01-17,48.4,-89.2,thunder bay,on,"los angeles, ca",us,indie,alpha pup,0.1,0.8,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.3,0.0,0.1,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ciut,2006-01-17,43.66,-79.42,toronto,on,"new york, ny",us,indie,barak,0.0,0.6,0.3,0.1,0.1,0.0,0.7,0.0,0.2,0.0,0.3,0.2,0.0,0.5,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,cjsf,2006-01-17,49.25,-123.13,burnaby,bc,"montreal, qc",us,indie,blue note,0.0,0.5,0.4,0.1,0.0,0.1,0.5,0.0,0.2,0.2,0.4,0.1,0.0,0.5,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,cjsw,2006-01-17,51.08,-114.08,calgary,ab,"london, eng",us,indie,big dada,0.1,0.4,0.4,0.1,0.0,0.0,0.4,0.0,0.3,0.3,0.2,0.1,0.2,0.5,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,cjum,2006-01-17,49.88,-97.17,winnipeg,mb,"atlanta, ga",us,indie,arc the finger,0.1,0.5,0.4,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.2,0.1,0.1,0.6,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ckdu,2006-01-17,44.65,-63.6,halifax,ns,"halifax, ns",cdn,indie,chocolate industries,0.1,0.6,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.8,0.0,0.1,0.1,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
